Operación nº,Tipo,Fecha y hora,Señal,Precio USD,Tamaño de la posición (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
511,Entrada en corto,2024-12-09 01:45,Short,2628.33,24.9,65445.417,-503.73,-0.77,6.23,0.01,-503.73,-0.77,16699.03,16.70
512,Salida en largo,2024-12-11 16:00,Exit,2711.62,39.6,105881.292,1498.86,1.42,1498.86,1.42,-161.17,-0.15,18197.9,18.20
512,Entrada en largo,2024-12-10 11:45,Long,2673.77,39.6,105881.292,1498.86,1.42,1498.86,1.42,-161.17,-0.15,18197.9,18.20
513,Salida en largo,2024-12-12 15:00,Exit,2690.36,20.3,55115.312,-501,-0.91,223.5,0.41,-501,-0.91,17696.89,17.70
513,Entrada en largo,2024-12-11 16:45,Long,2715.04,20.3,55115.312,-501,-0.91,223.5,0.41,-501,-0.91,17696.89,17.70
514,Salida en largo,2025-02-05 06:30,Exit,2858.8,40.6,114569.14,1498.14,1.31,1498.14,1.31,-17.05,-0.01,19195.03,19.20
514,Entrada en largo,2025-02-04 14:00,Long,2821.9,40.6,114569.14,1498.14,1.31,1498.14,1.31,-17.05,-0.01,19195.03,19.20
515,Salida en largo,2025-02-11 00:30,Exit,2916.54,32.8,94169.784,1492.73,1.59,1492.73,1.59,-161.05,-0.17,20687.76,20.69
515,Entrada en largo,2025-02-10 02:15,Long,2871.03,32.8,94169.784,1492.73,1.59,1492.73,1.59,-161.05,-0.17,20687.76,20.69
516,Salida en largo,2025-02-14 16:15,Exit,2905.83,40.3,117104.143,0.81,0.00,1375.44,1.17,-177.32,-0.15,20688.56,20.69
516,Entrada en largo,2025-02-13 01:00,Long,2905.81,40.3,117104.143,0.81,0.00,1375.44,1.17,-177.32,-0.15,20688.56,20.69
517,Salida en largo,2025-02-19 17:00,Exit,2924.72,39.7,116612.001,-500.62,-0.43,382.71,0.33,-500.62,-0.43,20187.95,20.19
517,Entrada en largo,2025-02-19 09:15,Long,2937.33,39.7,116612.001,-500.62,-0.43,382.71,0.33,-500.62,-0.43,20187.95,20.19
518,Salida en largo,2025-02-21 02:45,Exit,2933.59,40.4,119016.784,-499.75,-0.42,150.29,0.13,-499.75,-0.42,19688.2,19.69
518,Entrada en largo,2025-02-21 02:15,Long,2945.96,40.4,119016.784,-499.75,-0.42,150.29,0.13,-499.75,-0.42,19688.2,19.69
519,Salida en largo,2025-02-24 02:15,Exit,2921.64,26.7,78506.01,-498.22,-0.63,66.75,0.09,-498.22,-0.63,19189.98,19.19
519,Entrada en largo,2025-02-21 18:45,Long,2940.3,26.7,78506.01,-498.22,-0.63,66.75,0.09,-498.22,-0.63,19189.98,19.19
520,Salida en largo,2025-02-25 08:45,Exit,2933.1,29.5,87025,-498.55,-0.57,108.27,0.12,-498.55,-0.57,18691.43,18.69
520,Entrada en largo,2025-02-24 21:45,Long,2950,29.5,87025,-498.55,-0.57,108.27,0.12,-498.55,-0.57,18691.43,18.69
521,Salida en corto,2025-02-28 09:45,Exit,2851.95,25.6,74510.336,1500.42,2.01,1500.42,2.01,-260.86,-0.35,20191.84,20.19
